"RealeaseYear","Movie","WorldwideGross","genres"
1933,"The Big Parade",22000000,"Drama"
1933,"The Birth of a Nation",11000000,"Drama"
1933,"King Kong",10001782,"Adventure"
1933,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1933,"20,000 Leagues Under the Sea",8000000,"Action"
1933,"The Broadway Melody",4358000,"Drama"
1933,"Over the Hill to the Poorhouse",3000000,"Crime"
1933,"42nd Street",2281000,"Comedy"
1933,"She Done Him Wrong",2200000,"Comedy"
1933,"Mata Hari",900000,"Crime"
1934,"The Big Parade",22000000,"Drama"
1934,"The Birth of a Nation",11000000,"Drama"
1934,"King Kong",10001782,"Adventure"
1934,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1934,"20,000 Leagues Under the Sea",8000000,"Action"
1934,"The Broadway Melody",4358000,"Drama"
1934,"Over the Hill to the Poorhouse",3000000,"Crime"
1934,"It Happened One Night",2500000,"Comedy"
1934,"42nd Street",2281000,"Comedy"
1934,"She Done Him Wrong",2200000,"Comedy"
1935,"The Big Parade",22000000,"Drama"
1935,"The Birth of a Nation",11000000,"Drama"
1935,"King Kong",10001782,"Adventure"
1935,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1935,"20,000 Leagues Under the Sea",8000000,"Action"
1935,"The Broadway Melody",4358000,"Drama"
1935,"Top Hat",3202000,"Comedy"
1935,"Over the Hill to the Poorhouse",3000000,"Crime"
1935,"It Happened One Night",2500000,"Comedy"
1935,"42nd Street",2281000,"Comedy"
1936,"The Big Parade",22000000,"Drama"
1936,"The Birth of a Nation",11000000,"Drama"
1936,"King Kong",10001782,"Adventure"
1936,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1936,"20,000 Leagues Under the Sea",8000000,"Action"
1936,"San Francisco",5273000,"Drama"
1936,"The Broadway Melody",4358000,"Drama"
1936,"Top Hat",3202000,"Comedy"
1936,"Over the Hill to the Poorhouse",3000000,"Crime"
1936,"It Happened One Night",2500000,"Comedy"
1937,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1937,"The Big Parade",22000000,"Drama"
1937,"The Birth of a Nation",11000000,"Drama"
1937,"King Kong",10001782,"Adventure"
1937,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1937,"20,000 Leagues Under the Sea",8000000,"Action"
1937,"San Francisco",5273000,"Drama"
1937,"The Broadway Melody",4358000,"Drama"
1937,"Top Hat",3202000,"Comedy"
1937,"Over the Hill to the Poorhouse",3000000,"Crime"
1938,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1938,"The Big Parade",22000000,"Drama"
1938,"The Birth of a Nation",11000000,"Drama"
1938,"King Kong",10001782,"Adventure"
1938,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1938,"20,000 Leagues Under the Sea",8000000,"Action"
1938,"San Francisco",5273000,"Drama"
1938,"The Broadway Melody",4358000,"Drama"
1938,"Alexander's Ragtime Band",4000000,"Drama"
1938,"You Can't Take It With You",4000000,"Comedy"
1939,"Gone with the Wind",390525192,"Drama"
1939,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1939,"The Wizard of Oz",34949482,"Adventure"
1939,"The Big Parade",22000000,"Drama"
1939,"The Birth of a Nation",11000000,"Drama"
1939,"King Kong",10001782,"Adventure"
1939,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1939,"Mr. Smith Goes To Washington",9000000,"Comedy"
1939,"20,000 Leagues Under the Sea",8000000,"Action"
1939,"San Francisco",5273000,"Drama"
1940,"Gone with the Wind",390525192,"Drama"
1940,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1940,"Pinocchio",84300000,"Adventure"
1940,"Fantasia",83320832,"Others"
1940,"The Wizard of Oz",34949482,"Adventure"
1940,"The Big Parade",22000000,"Drama"
1940,"The Birth of a Nation",11000000,"Drama"
1940,"King Kong",10001782,"Adventure"
1940,"Boom Town",9172000,"Drama"
1940,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1941,"Gone with the Wind",390525192,"Drama"
1941,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1941,"Pinocchio",84300000,"Adventure"
1941,"Fantasia",83320832,"Others"
1941,"The Wizard of Oz",34949482,"Adventure"
1941,"The Big Parade",22000000,"Drama"
1941,"The Birth of a Nation",11000000,"Drama"
1941,"King Kong",10001782,"Adventure"
1941,"Boom Town",9172000,"Drama"
1941,"Ben-Hur: A Tale of the Christ",9000000,"Adventure"
1942,"Gone with the Wind",390525192,"Drama"
1942,"Bambi",268000000,"Adventure"
1942,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1942,"Pinocchio",84300000,"Adventure"
1942,"Fantasia",83320832,"Others"
1942,"The Wizard of Oz",34949482,"Adventure"
1942,"The Big Parade",22000000,"Drama"
1942,"The Birth of a Nation",11000000,"Drama"
1942,"King Kong",10001782,"Adventure"
1942,"Boom Town",9172000,"Drama"
1943,"Gone with the Wind",390525192,"Drama"
1943,"Bambi",268000000,"Adventure"
1943,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1943,"Pinocchio",84300000,"Adventure"
1943,"Fantasia",83320832,"Others"
1943,"The Wizard of Oz",34949482,"Adventure"
1943,"The Big Parade",22000000,"Drama"
1943,"The Birth of a Nation",11000000,"Drama"
1943,"Casablanca",10511866,"Drama"
1943,"King Kong",10001782,"Adventure"
1944,"Gone with the Wind",390525192,"Drama"
1944,"Bambi",268000000,"Adventure"
1944,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1944,"Pinocchio",84300000,"Adventure"
1944,"Fantasia",83320832,"Others"
1944,"The Wizard of Oz",34949482,"Adventure"
1944,"The Big Parade",22000000,"Drama"
1944,"The Birth of a Nation",11000000,"Drama"
1944,"Casablanca",10511866,"Drama"
1944,"King Kong",10001782,"Adventure"
1945,"Gone with the Wind",390525192,"Drama"
1945,"Bambi",268000000,"Adventure"
1945,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1945,"Pinocchio",84300000,"Adventure"
1945,"Fantasia",83320832,"Others"
1945,"The Wizard of Oz",34949482,"Adventure"
1945,"The Big Parade",22000000,"Drama"
1945,"The Lost Weekend",11000000,"Drama"
1945,"The Birth of a Nation",11000000,"Drama"
1945,"Casablanca",10511866,"Drama"
1946,"Gone with the Wind",390525192,"Drama"
1946,"Bambi",268000000,"Adventure"
1946,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1946,"Pinocchio",84300000,"Adventure"
1946,"Fantasia",83320832,"Others"
1946,"The Wizard of Oz",34949482,"Adventure"
1946,"Notorious",24492698,"Drama"
1946,"The Best Years of Our Lives",23600000,"Drama"
1946,"The Big Parade",22000000,"Drama"
1946,"Duel in the Sun",20400000,"Drama"
1947,"Gone with the Wind",390525192,"Drama"
1947,"Bambi",268000000,"Adventure"
1947,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1947,"Pinocchio",84300000,"Adventure"
1947,"Fantasia",83320832,"Others"
1947,"The Wizard of Oz",34949482,"Adventure"
1947,"Notorious",24492698,"Drama"
1947,"The Best Years of Our Lives",23600000,"Drama"
1947,"The Big Parade",22000000,"Drama"
1947,"Duel in the Sun",20400000,"Drama"
1948,"Gone with the Wind",390525192,"Drama"
1948,"Bambi",268000000,"Adventure"
1948,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1948,"Pinocchio",84300000,"Adventure"
1948,"Fantasia",83320832,"Others"
1948,"The Wizard of Oz",34949482,"Adventure"
1948,"Notorious",24492698,"Drama"
1948,"The Best Years of Our Lives",23600000,"Drama"
1948,"The Big Parade",22000000,"Drama"
1948,"Duel in the Sun",20400000,"Drama"
1949,"Gone with the Wind",390525192,"Drama"
1949,"Bambi",268000000,"Adventure"
1949,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1949,"Pinocchio",84300000,"Adventure"
1949,"Fantasia",83320832,"Others"
1949,"The Wizard of Oz",34949482,"Adventure"
1949,"Notorious",24492698,"Drama"
1949,"The Best Years of Our Lives",23600000,"Drama"
1949,"The Big Parade",22000000,"Drama"
1949,"Duel in the Sun",20400000,"Drama"
1950,"Gone with the Wind",390525192,"Drama"
1950,"Bambi",268000000,"Adventure"
1950,"Cinderella",263591415,"Others"
1950,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1950,"Pinocchio",84300000,"Adventure"
1950,"Fantasia",83320832,"Others"
1950,"The Wizard of Oz",34949482,"Adventure"
1950,"Notorious",24492698,"Drama"
1950,"The Best Years of Our Lives",23600000,"Drama"
1950,"The Big Parade",22000000,"Drama"
1951,"Gone with the Wind",390525192,"Drama"
1951,"Bambi",268000000,"Adventure"
1951,"Cinderella",263591415,"Others"
1951,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1951,"Pinocchio",84300000,"Adventure"
1951,"Fantasia",83320832,"Others"
1951,"The Wizard of Oz",34949482,"Adventure"
1951,"Quo Vadis?",30028983,"Others"
1951,"Notorious",24492698,"Drama"
1951,"The Best Years of Our Lives",23600000,"Drama"
1952,"Gone with the Wind",390525192,"Drama"
1952,"Bambi",268000000,"Adventure"
1952,"Cinderella",263591415,"Others"
1952,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1952,"Pinocchio",84300000,"Adventure"
1952,"Fantasia",83320832,"Others"
1952,"The Greatest Show on Earth",36000000,"Drama"
1952,"The Wizard of Oz",34949482,"Adventure"
1952,"Quo Vadis?",30028983,"Others"
1952,"Notorious",24492698,"Drama"
1953,"Gone with the Wind",390525192,"Drama"
1953,"Bambi",268000000,"Adventure"
1953,"Cinderella",263591415,"Others"
1953,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1953,"Peter Pan",87400000,"Adventure"
1953,"Pinocchio",84300000,"Adventure"
1953,"Fantasia",83320832,"Others"
1953,"The Robe",36010330,"Drama"
1953,"The Greatest Show on Earth",36000000,"Drama"
1953,"The Wizard of Oz",34949482,"Adventure"
1954,"Gone with the Wind",390525192,"Drama"
1954,"Bambi",268000000,"Adventure"
1954,"Cinderella",263591415,"Others"
1954,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1954,"Peter Pan",87400000,"Adventure"
1954,"Pinocchio",84300000,"Adventure"
1954,"Fantasia",83320832,"Others"
1954,"The Robe",36010330,"Drama"
1954,"The Greatest Show on Earth",36000000,"Drama"
1954,"The Wizard of Oz",34949482,"Adventure"
1955,"Gone with the Wind",390525192,"Drama"
1955,"Bambi",268000000,"Adventure"
1955,"Cinderella",263591415,"Others"
1955,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1955,"Peter Pan",87400000,"Adventure"
1955,"Pinocchio",84300000,"Adventure"
1955,"Fantasia",83320832,"Others"
1955,"The Robe",36010330,"Drama"
1955,"The Greatest Show on Earth",36000000,"Drama"
1955,"The Wizard of Oz",34949482,"Adventure"
1956,"Gone with the Wind",390525192,"Drama"
1956,"Bambi",268000000,"Adventure"
1956,"Cinderella",263591415,"Others"
1956,"Snow White and the Seven Dwarfs",184925486,"Adventure"
1956,"Peter Pan",87400000,"Adventure"
1956,"The Ten Commandments",85433929,"Adventure"
1956,"Pinocchio",84300000,"Adventure"
1956,"Fantasia",83320832,"Others"
1956,"Around the World in 80 Days",42000000,"Adventure"
